t,valor_sensor
0,24.46
1,24.46
2,24.41
3,24.46
4,24.44
5,24.44
6,24.46
7,24.50
8,24.46
9,24.44
10,24.44
11,24.46
12,24.42
13,24.50
14,24.42
15,24.42
16,24.44
17,24.41
18,24.42
19,24.48
20,24.41
21,24.41
22,24.39
23,24.46
24,24.39
25,24.42
26,24.46
27,24.48
28,24.42
29,24.48
30,24.46
31,24.39
32,24.46
33,24.46
34,24.44
35,24.46
36,24.41
37,24.48
38,24.44
39,24.50
40,24.42
41,24.44
42,24.42
43,24.48
44,24.46
45,24.32
46,24.48
47,24.51
48,24.50
49,24.50
50,24.50
51,24.51
52,24.50
53,24.51
54,24.51
55,24.51
56,24.46
57,24.48
58,24.50
59,24.50
60,24.50
61,24.51
62,24.48
63,24.50
64,24.50
65,24.51
66,24.48
67,24.50
68,24.44
69,24.46
70,24.48
71,24.50
72,24.50
73,24.51
74,24.53
75,24.46
76,24.48
77,24.46
78,24.46
79,24.57
80,24.48
81,24.46
82,24.44
83,24.44
84,24.46
85,24.53
86,24.50
87,24.55
88,24.48
89,24.48
90,24.51
91,24.48
92,24.42
93,24.42
94,24.46
95,24.50
96,24.53
97,24.42
98,24.48
99,24.50
100,24.51
101,24.51
102,24.44
103,24.46
104,24.41
105,24.46
106,24.42
107,24.50
108,24.42
109,24.48
110,24.41
111,24.48
112,24.51
113,24.46
114,24.50
115,24.46
116,24.46
117,24.53
118,24.41
119,24.48
120,24.44
121,24.44
122,24.53
123,24.46
124,24.42
125,24.44
126,24.44
128,24.46
129,24.46
130,24.53
131,24.46
132,24.50
133,24.46
134,24.50
135,24.53
136,24.48
137,24.50
138,24.51
139,24.48
140,24.48
141,24.53
142,24.48
143,24.48
144,24.48
145,24.46
146,24.46
147,24.50
148,24.46
149,24.46
150,24.46
151,24.48
152,24.46
153,24.50
154,24.51
155,24.48
156,24.46
157,24.51
158,24.46
159,24.44
160,24.48
161,24.48
162,24.44
163,24.50
164,24.46
165,24.53
166,24.51
167,24.53
168,24.44
169,24.53
170,24.42
171,24.44
172,24.50
173,24.46
174,24.50
175,24.53
176,24.48
177,24.50
178,24.48
179,24.46
180,24.46
181,24.51
182,24.44
183,24.46
184,24.50
185,24.46
186,24.50
187,24.51
188,24.50
189,24.50
190,24.46
191,24.51
192,24.50
193,24.44
194,24.44
195,24.50
196,24.46
197,24.46
198,24.46
199,24.51
200,24.55
201,24.44
202,24.42
203,24.50
204,24.50
205,24.50
206,24.51
207,24.51
208,24.53
209,24.50
210,24.50
211,24.53
212,24.50
213,24.46
214,24.50
215,24.51
216,24.50
217,24.46
218,24.46
219,24.55
220,24.50
221,24.50
222,24.51
223,24.46
224,24.50
225,24.55
226,24.53
227,24.48
228,24.50
229,24.57
230,24.50
231,24.51
232,24.48
233,24.48
234,24.50
235,24.50
236,24.48
237,24.51
238,24.48
239,24.48
240,24.50
241,24.50
242,24.53
243,24.51
244,24.51
245,24.55
246,24.53
247,24.48
248,24.51
249,24.53
250,24.51
251,24.50
252,24.50
253,24.51
254,24.59
255,24.51
256,24.51
257,24.53
258,24.53
259,24.51
260,24.50
261,24.53
262,24.53
263,24.57
264,24.57
265,24.51
266,24.53
267,24.53
268,24.50
269,24.53
270,24.51
271,24.57
272,24.55
273,24.57
274,24.48
275,24.51
276,24.55
277,24.53
278,24.53
279,24.59
280,24.53
281,24.50
282,24.57
283,24.59
284,24.60
285,24.59
286,24.55
287,24.53
288,24.51
289,24.55
290,24.53
291,24.59
292,24.50
293,24.53
294,24.55
295,24.55
296,24.51
297,24.57
298,24.50
299,24.51
300,24.55
